step,base-mem,mlu-mem,diff_abs,diff_relative,max_error_range,success
100,72300,72160,140,0.0019363762102351315,0.002,1
101,72300,72160,140,0.0019363762102351315,0.002,1
102,72300,72160,140,0.0019363762102351315,0.002,1
103,72300,72160,140,0.0019363762102351315,0.002,1
104,72300,72160,140,0.0019363762102351315,0.002,1
105,72300,72160,140,0.0019363762102351315,0.002,1
106,72300,72160,140,0.0019363762102351315,0.002,1
107,72300,72160,140,0.0019363762102351315,0.002,1
108,72300,72160,140,0.0019363762102351315,0.002,1
109,72300,72160,140,0.0019363762102351315,0.002,1
110,72300,72160,140,0.0019363762102351315,0.002,1
111,72300,72160,140,0.0019363762102351315,0.002,1
112,72300,72160,140,0.0019363762102351315,0.002,1
113,72300,72160,140,0.0019363762102351315,0.002,1
114,72300,72160,140,0.0019363762102351315,0.002,1
115,72300,72160,140,0.0019363762102351315,0.002,1
116,72300,72160,140,0.0019363762102351315,0.002,1
117,72300,72160,140,0.0019363762102351315,0.002,1
118,72300,72160,140,0.0019363762102351315,0.002,1
119,72300,72160,140,0.0019363762102351315,0.002,1
120,72300,72160,140,0.0019363762102351315,0.002,1
121,72300,72160,140,0.0019363762102351315,0.002,1
