step,base-mem,mlu-mem,diff_abs,diff_relative,max_error_range,success
198,69898,69856,42,0.0006008755615325188,0.002,1
199,69898,69856,42,0.0006008755615325188,0.002,1
200,69898,69856,42,0.0006008755615325188,0.002,1
201,69898,69856,42,0.0006008755615325188,0.002,1
202,69898,69856,42,0.0006008755615325188,0.002,1
203,69898,69856,42,0.0006008755615325188,0.002,1
204,69898,69856,42,0.0006008755615325188,0.002,1
205,69898,69856,42,0.0006008755615325188,0.002,1
206,69898,69856,42,0.0006008755615325188,0.002,1
207,69898,69856,42,0.0006008755615325188,0.002,1
208,69898,69856,42,0.0006008755615325188,0.002,1
209,69898,69856,42,0.0006008755615325188,0.002,1
210,69898,69856,42,0.0006008755615325188,0.002,1
211,69898,69856,42,0.0006008755615325188,0.002,1
212,69898,69856,42,0.0006008755615325188,0.002,1
213,69898,69856,42,0.0006008755615325188,0.002,1
214,69898,69856,42,0.0006008755615325188,0.002,1
215,69898,69856,42,0.0006008755615325188,0.002,1
216,69898,69856,42,0.0006008755615325188,0.002,1
217,69898,69856,42,0.0006008755615325188,0.002,1
218,69898,69856,42,0.0006008755615325188,0.002,1
219,69898,69856,42,0.0006008755615325188,0.002,1
220,69898,69856,42,0.0006008755615325188,0.002,1
221,69898,69856,42,0.0006008755615325188,0.002,1
222,69898,69856,42,0.0006008755615325188,0.002,1
223,69898,69856,42,0.0006008755615325188,0.002,1
224,69898,69856,42,0.0006008755615325188,0.002,1
225,69898,69856,42,0.0006008755615325188,0.002,1
226,69898,69856,42,0.0006008755615325188,0.002,1
227,69898,69856,42,0.0006008755615325188,0.002,1
228,69898,69856,42,0.0006008755615325188,0.002,1
229,69898,69856,42,0.0006008755615325188,0.002,1
230,69898,69856,42,0.0006008755615325188,0.002,1
231,69898,69856,42,0.0006008755615325188,0.002,1
232,69898,69856,42,0.0006008755615325188,0.002,1
233,69898,69856,42,0.0006008755615325188,0.002,1
234,69898,69856,42,0.0006008755615325188,0.002,1
235,69898,69856,42,0.0006008755615325188,0.002,1
236,69898,69856,42,0.0006008755615325188,0.002,1
237,69898,69856,42,0.0006008755615325188,0.002,1
238,69898,69856,42,0.0006008755615325188,0.002,1
239,69898,69856,42,0.0006008755615325188,0.002,1
240,69898,69856,42,0.0006008755615325188,0.002,1
241,69898,69856,42,0.0006008755615325188,0.002,1
242,69898,69856,42,0.0006008755615325188,0.002,1
243,69898,69856,42,0.0006008755615325188,0.002,1
244,69898,69856,42,0.0006008755615325188,0.002,1
245,69898,69856,42,0.0006008755615325188,0.002,1
246,69898,69856,42,0.0006008755615325188,0.002,1
247,69898,69856,42,0.0006008755615325188,0.002,1
248,69898,69856,42,0.0006008755615325188,0.002,1
249,69898,69856,42,0.0006008755615325188,0.002,1
250,69898,69856,42,0.0006008755615325188,0.002,1
251,69898,69856,42,0.0006008755615325188,0.002,1
252,69898,69856,42,0.0006008755615325188,0.002,1
253,69898,69856,42,0.0006008755615325188,0.002,1
254,69898,69856,42,0.0006008755615325188,0.002,1
255,69898,69856,42,0.0006008755615325188,0.002,1
256,69898,69856,42,0.0006008755615325188,0.002,1
257,69898,69856,42,0.0006008755615325188,0.002,1
258,69898,69856,42,0.0006008755615325188,0.002,1
259,69898,69856,42,0.0006008755615325188,0.002,1
260,69898,69856,42,0.0006008755615325188,0.002,1
261,69898,69856,42,0.0006008755615325188,0.002,1
262,69898,69856,42,0.0006008755615325188,0.002,1
263,69898,69856,42,0.0006008755615325188,0.002,1
264,69898,69856,42,0.0006008755615325188,0.002,1
265,69898,69856,42,0.0006008755615325188,0.002,1
266,69898,69856,42,0.0006008755615325188,0.002,1
267,69898,69856,42,0.0006008755615325188,0.002,1
268,69898,69856,42,0.0006008755615325188,0.002,1
269,69898,69856,42,0.0006008755615325188,0.002,1
270,69898,69856,42,0.0006008755615325188,0.002,1
271,69898,69856,42,0.0006008755615325188,0.002,1
272,69898,69856,42,0.0006008755615325188,0.002,1
273,69898,69856,42,0.0006008755615325188,0.002,1
274,69898,69856,42,0.0006008755615325188,0.002,1
275,69898,69856,42,0.0006008755615325188,0.002,1
276,69898,69856,42,0.0006008755615325188,0.002,1
277,69898,69856,42,0.0006008755615325188,0.002,1
278,69898,69856,42,0.0006008755615325188,0.002,1
279,69898,69856,42,0.0006008755615325188,0.002,1
280,69898,69856,42,0.0006008755615325188,0.002,1
281,69898,69856,42,0.0006008755615325188,0.002,1
282,69898,69856,42,0.0006008755615325188,0.002,1
283,69898,69856,42,0.0006008755615325188,0.002,1
284,69898,69856,42,0.0006008755615325188,0.002,1
285,69898,69856,42,0.0006008755615325188,0.002,1
286,69898,69856,42,0.0006008755615325188,0.002,1
287,69898,69856,42,0.0006008755615325188,0.002,1
288,69898,69856,42,0.0006008755615325188,0.002,1
289,69898,69856,42,0.0006008755615325188,0.002,1
290,69898,69856,42,0.0006008755615325188,0.002,1
291,69898,69856,42,0.0006008755615325188,0.002,1
292,69898,69856,42,0.0006008755615325188,0.002,1
293,69898,69856,42,0.0006008755615325188,0.002,1
294,69898,69856,42,0.0006008755615325188,0.002,1
295,69898,69856,42,0.0006008755615325188,0.002,1
296,69898,69856,42,0.0006008755615325188,0.002,1
297,69898,69856,42,0.0006008755615325188,0.002,1
298,69898,69856,42,0.0006008755615325188,0.002,1
299,69898,69856,42,0.0006008755615325188,0.002,1
300,69898,69856,42,0.0006008755615325188,0.002,1
301,69898,69856,42,0.0006008755615325188,0.002,1
302,69898,69856,42,0.0006008755615325188,0.002,1
303,69898,69856,42,0.0006008755615325188,0.002,1
304,69898,69856,42,0.0006008755615325188,0.002,1
305,69898,69856,42,0.0006008755615325188,0.002,1
306,69898,69856,42,0.0006008755615325188,0.002,1
307,69898,69856,42,0.0006008755615325188,0.002,1
308,69898,69856,42,0.0006008755615325188,0.002,1
309,69898,69856,42,0.0006008755615325188,0.002,1
310,69898,69856,42,0.0006008755615325188,0.002,1
311,69898,69856,42,0.0006008755615325188,0.002,1
312,69898,69856,42,0.0006008755615325188,0.002,1
313,69898,69856,42,0.0006008755615325188,0.002,1
314,69898,69856,42,0.0006008755615325188,0.002,1
315,69898,69856,42,0.0006008755615325188,0.002,1
